"","REF_AREA","SECT_PERF","UNIT_MEASURE","PRICE_BASE","TIME_PERIOD","BASE_PER","OBS_VALUE","PIB","share","share_sect"
"1","AUT","_T","USD_PPP","V",2000,NA,4439.2804751105,234055.762,0.0189667643179427,1
"2","AUT","_T","USD_PPP","V",2001,NA,4760.1165544351,237701.136,0.020025636538965,1
"3","AUT","_T","USD_PPP","V",2002,NA,5205.9649178796,250154.04,0.0208110367431188,1
"4","AUT","BES","USD_PPP","V",2002,NA,3479.5438020368,250154.04,0.0139096046661361,0.671371372401689
"5","AUT","HES","USD_PPP","V",2002,NA,1407.0991853847,250154.04,0.00562493088412524,0.271497117134735
"6","AUT","GOV","USD_PPP","V",2002,NA,296.09781010382,250154.04,0.00118366191528956,0.057131510463576
"7","AUT","_T","USD_PPP","V",2003,NA,5677.1471993815,259584.557,0.0218701268865601,1
"8","AUT","BES","USD_PPP","V",2004,NA,4050.4135959656,273948.892,0.0147852892063006,0.680280453561235
"9","AUT","_T","USD_PPP","V",2004,NA,5978.6188786851,273948.892,0.0218238476346351,1
"10","AUT","HES","USD_PPP","V",2004,NA,1596.3142665461,273948.892,0.00582705137039248,0.268106297676341
"11","AUT","GOV","USD_PPP","V",2004,NA,307.30708698873,273948.892,0.00112176795001868,0.0516132487624236
"12","AUT","_T","USD_PPP","V",2006,NA,7346.9395547903,309214.459,0.023760012964951,1
"13","AUT","BES","USD_PPP","V",2006,NA,5172.6997936162,309214.459,0.0167285184863111,0.705907330736513
"14","AUT","HES","USD_PPP","V",2006,NA,1771.054897602,309214.459,0.00572759405666085,0.241692092183074
"15","AUT","GOV","USD_PPP","V",2006,NA,383.97738973247,309214.459,0.00124178342427535,0.0524005770804129
"16","AUT","_T","USD_PPP","V",2007,NA,7912.3993974912,325131.677,0.0243359843325607,1
"17","AUT","BES","USD_PPP","V",2007,NA,5582.9092159189,325131.677,0.0171712251092621,0.707379732507614
"18","AUT","HES","USD_PPP","V",2007,NA,1886.3043847754,325131.677,0.00580166288988015,0.239003257893876
"19","AUT","GOV","USD_PPP","V",2007,NA,423.16578106698,325131.677,0.00130152123278649,0.0536170095985104
"20","AUT","BES","USD_PPP","V",2009,NA,6035.9873819813,339285.345,0.0177902979628587,0.684176715243746
"21","AUT","HES","USD_PPP","V",2009,NA,2313.280678007,339285.345,0.00681809784035028,0.26220942416817
"22","AUT","GOV","USD_PPP","V",2009,NA,472.99561472753,339285.345,0.0013940938555054,0.0536138605880837
"23","AUT","_T","USD_PPP","V",2009,NA,8864.8174342325,339285.345,0.0261279114022225,1
"24","AUT","_T","USD_PPP","V",2011,NA,9955.0085745408,370671.992,0.0268566516742403,1
"25","AUT","BES","USD_PPP","V",2011,NA,6847.509310401,370671.992,0.0184732309378287,0.691246532135544
"26","AUT","HES","USD_PPP","V",2011,NA,2547.0523211113,370671.992,0.00687144531036297,0.257121385941258
"27","AUT","GOV","USD_PPP","V",2011,NA,511.46898428874,370671.992,0.00137984254361668,0.0516320819231973
"28","AUT","_T","USD_PPP","V",2012,NA,11415.064030272,389098.907,0.0293371783495449,1
"29","AUT","BES","USD_PPP","V",2012,NA,8038.4390172784,389098.907,0.0206591148745591,0.707288236585441
"30","AUT","HES","USD_PPP","V",2012,NA,2804.1929520824,389098.907,0.00720688982064501,0.246736049606208
"31","AUT","GOV","USD_PPP","V",2012,NA,522.52102128611,389098.907,0.00134290025462886,0.0459757138083513
"32","AUT","_T","USD_PPP","V",2013,NA,12007.909003131,402959.688,0.0297992810713388,1
"33","AUT","BES","USD_PPP","V",2013,NA,8504.0489398393,402959.688,0.0211039694368616,0.711192743639506
"34","AUT","GOV","USD_PPP","V",2013,NA,533.05089295199,402959.688,0.00132283925371709,0.0445789916944173
"35","AUT","HES","USD_PPP","V",2013,NA,2920.346324941,402959.688,0.00724724187532377,0.244228264666076
"36","AUT","_T","USD_PPP","V",2014,NA,12863.311354736,413263.078,0.031126205169328,1
"37","AUT","BES","USD_PPP","V",2014,NA,9169.6327023467,413263.078,0.0221883666615547,0.716243200891795
"38","AUT","HES","USD_PPP","V",2014,NA,3047.4622485827,413263.078,0.00737414593950902,0.238038336580611
"39","AUT","GOV","USD_PPP","V",2014,NA,585.30609236089,413263.078,0.00141630385950155,0.0457184625275934
"40","AUT","_T","USD_PPP","V",2015,NA,13143.431799691,428354.652,0.0306835276290895,1
"41","AUT","BES","USD_PPP","V",2015,NA,9387.0363959888,428354.652,0.0219141693738132,0.717709207519894
"42","AUT","HES","USD_PPP","V",2015,NA,3089.8427712139,428354.652,0.00721328169727429,0.236241611637579
"43","AUT","GOV","USD_PPP","V",2015,NA,602.28478615734,428354.652,0.00140604236079906,0.0460491808425272
"44","AUT","_T","USD_PPP","V",2016,NA,14344.925246476,457782.62,0.0313356702936341,1
"45","AUT","BES","USD_PPP","V",2016,NA,10071.046174911,457782.62,0.0219996254443015,0.705512721213503
"46","AUT","HES","USD_PPP","V",2016,NA,3187.3993434845,457782.62,0.00696269190709883,0.223288697654666
"47","AUT","GOV","USD_PPP","V",2016,NA,1016.3448178985,457782.62,0.00222014723472573,0.0711985811318306
"48","AUT","_T","USD_PPP","V",2017,NA,14567.295110936,473923.564,0.0307376467799689,1
"49","AUT","BES","USD_PPP","V",2017,NA,10178.522658154,473923.564,0.0214771398413817,0.702554543325177
"50","AUT","HES","USD_PPP","V",2017,NA,3268.5850827143,473923.564,0.00689686128945954,0.2256083104817
"51","AUT","GOV","USD_PPP","V",2017,NA,1040.7676203517,473923.564,0.00219606641114747,0.0718371461931226
"52","AUT","_T","USD_PPP","V",2018,NA,15563.05330414,500696.449,0.0310828114224153,1
"53","AUT","BES","USD_PPP","V",2018,NA,10874.278480609,500696.449,0.0217183055768167,0.702554644405144
"54","AUT","HES","USD_PPP","V",2018,NA,3492.0058126907,500696.449,0.00697429714084251,0.225608062766682
"55","AUT","GOV","USD_PPP","V",2018,NA,1111.9116978695,500696.449,0.00222073014516126,0.0718372928281746
"56","AUT","_T","USD_PPP","V",2019,NA,16850.456125594,535946.887,0.0314405336318224,1
"57","AUT","BES","USD_PPP","V",2019,NA,11849.875499311,535946.887,0.0221101676056773,0.707067276080966
"58","AUT","HES","USD_PPP","V",2019,NA,3672.3449288219,535946.887,0.00685206877378859,0.219124236858254
"59","AUT","GOV","USD_PPP","V",2019,NA,1236.9705289014,535946.887,0.00230800954144062,0.0738084870607796
"60","AUT","_T","USD_PPP","V",2020,NA,16738.516781946,521841.689,0.0320758519964586,1
"61","AUT","BES","USD_PPP","V",2020,NA,11640.323368514,521841.689,0.022306235040018,0.699319595549261
"62","AUT","HES","USD_PPP","V",2020,NA,3741.359036163,521841.689,0.00716952883418059,0.224770876645164
"63","AUT","GOV","USD_PPP","V",2020,NA,1263.5302314303,521841.689,0.00242129032245697,0.0759095278055753
"64","AUT","_T","USD_PPP","V",2021,NA,18536.875069517,563937.452,0.0328704451243238,1
"65","AUT","BES","USD_PPP","V",2021,NA,12765.508719377,563937.452,0.0226363910999424,0.692116707703439
"66","AUT","HES","USD_PPP","V",2021,NA,4280.9571856249,563937.452,0.00759119148842219,0.232103714647628
"67","AUT","GOV","USD_PPP","V",2021,NA,1397.6903728246,563937.452,0.00247844928168488,0.0757795776489325
"68","BEL","HES","USD_PPP","V",2000,NA,1116.3734157841,284862.733,0.00391898724001956,0.204818982726426
"69","BEL","_T","USD_PPP","V",2000,NA,5515.4984561374,284862.733,0.0193619516250917,1
"70","BEL","GOV","USD_PPP","V",2000,NA,346.81807807573,284862.733,0.00121749192821137,0.0636300765839296
"71","BEL","BES","USD_PPP","V",2000,NA,3987.3453700754,284862.733,0.0139974272102325,0.731550940689644
"72","BEL","_T","USD_PPP","V",2001,NA,6021.4974654292,296218.133,0.020327916473058,1
"73","BEL","HES","USD_PPP","V",2001,NA,1187.244395374,296218.133,0.00400800715118274,0.199466398870284
"74","BEL","GOV","USD_PPP","V",2001,NA,370.80449998607,296218.133,0.00125179541249107,0.062298073240277
"75","BEL","BES","USD_PPP","V",2001,NA,4394.0533238517,296218.133,0.0148338431525112,0.738235527889439
"76","BEL","_T","USD_PPP","V",2002,NA,5955.2717656406,312900.475,0.019032479147373,1
"77","BEL","HES","USD_PPP","V",2002,NA,1260.080364184,312900.475,0.00402709636086043,0.214282002627569
"78","BEL","GOV","USD_PPP","V",2002,NA,426.708216025,312900.475,0.0013637186585447,0.0725635393316253
"79","BEL","BES","USD_PPP","V",2002,NA,4193.6883088094,312900.475,0.0134026268538244,0.713154458040806
"80","BEL","HES","USD_PPP","V",2003,NA,1312.7014618317,320981.268,0.00408965130585658,0.224947470876733
"81","BEL","_T","USD_PPP","V",2003,NA,5909.8910637153,320981.268,0.0184119500198227,1
"82","BEL","GOV","USD_PPP","V",2003,NA,404.59289954236,320981.268,0.00126048757319496,0.0693319479965708
"83","BEL","BES","USD_PPP","V",2003,NA,4118.2967511441,320981.268,0.0128303336104464,0.705720581126696
"84","BEL","HES","USD_PPP","V",2004,NA,1323.5459384359,334143.284,0.0039610131396084,0.220743861736262
"85","BEL","_T","USD_PPP","V",2004,NA,6083.09509444,334143.284,0.0182050497068796,1
"86","BEL","GOV","USD_PPP","V",2004,NA,471.22773517645,334143.284,0.00141025649097424,0.0785923835352541
"87","BEL","BES","USD_PPP","V",2004,NA,4201.0711395822,334143.284,0.0125726637066936,0.700663754728484
"88","BEL","HES","USD_PPP","V",2005,NA,1389.1661467215,347658.439,0.00399577858865523,0.226119038133301
"89","BEL","_T","USD_PPP","V",2005,NA,6225.1942647113,347658.439,0.0179060640167901,1
