"","REF_AREA","SECT_PERF","SECT_FUND","Sources.de.financement","UNIT_MEASURE","PRICE_BASE","TIME_PERIOD","BASE_PER","OBS_VALUE","PIB","share_financements","share_financements_PIB"
"1","AUT","_T","BES","Secteur des entreprises","USD_PPP","V",2000,NA,1856.0996105131,234055.762,0.418108209409071,0.0079301598672589
"2","AUT","_T","GOV","Secteur de l'Etat","USD_PPP","V",2000,NA,1686.9545693631,234055.762,0.380006304810265,0.00720749002266862
"3","AUT","_T","PNP","Secteur privé sans but lucratif","USD_PPP","V",2000,NA,14.578429279567,234055.762,0.00328396220092494,6.22861370939759e-05
"4","AUT","_T","ROW","Reste du monde","USD_PPP","V",2000,NA,881.64786595476,234055.762,0.198601523579745,0.00376682829092137
"5","AUT","_T","_T","Total","USD_PPP","V",2000,NA,4439.2804751105,234055.762,1,0.0189667643179427
"6","AUT","_T","BES","Secteur des entreprises","USD_PPP","V",2001,NA,1988.1666576911,237701.136,0.417671843736407,0.00836414453522469
"7","AUT","_T","GOV","Secteur de l'Etat","USD_PPP","V",2001,NA,1821.7881184548,237701.136,0.38271922496465,0.00766419609561647
"8","AUT","_T","PNP","Secteur privé sans but lucratif","USD_PPP","V",2001,NA,14.736230111452,237701.136,0.0030957708583253,6.19947820167422e-05
"9","AUT","_T","ROW","Reste du monde","USD_PPP","V",2001,NA,935.42554817766,237701.136,0.1965131604406,0.00393530112610678
"10","AUT","_T","_T","Total","USD_PPP","V",2001,NA,4760.1165544351,237701.136,1,0.020025636538965
"11","AUT","BES","BES","Secteur des entreprises","USD_PPP","V",2002,NA,2242.8585596525,250154.04,0.644584085517076,0.0089659098036254
"12","AUT","BES","GOV","Secteur de l'Etat","USD_PPP","V",2002,NA,195.06282874169,250154.04,0.0560598859619204,0.000779770851358987
"13","AUT","BES","HES","Secteur de l'enseignement supérieur","USD_PPP","V",2002,NA,0,250154.04,0,0
"14","AUT","BES","PNP","Secteur privé sans but lucratif","USD_PPP","V",2002,NA,1.098025119,250154.04,0.000315565827439004,4.38939590581867e-06
"15","AUT","BES","ROW","Reste du monde","USD_PPP","V",2002,NA,1040.5243885238,250154.04,0.299040462693619,0.00415953461524667
"16","AUT","BES","ROW_BES","Secteur des entreprises","USD_PPP","V",2002,NA,874.73815462782,250154.04,0.25139449433451,0.00349679803143623
"17","AUT","BES","ROW_IO","RDM - Organisation internationales","USD_PPP","V",2002,NA,44.794534861367,250154.04,0.0128736804046398,0.000179067805026723
"18","AUT","BES","_T","Total","USD_PPP","V",2002,NA,3479.5438020368,250154.04,1,0.0139096046661361
"19","AUT","GOV","BES","Secteur des entreprises","USD_PPP","V",2002,NA,17.789562832479,250154.04,0.0600800216193476,7.11144334605949e-05
"20","AUT","GOV","GOV","Secteur de l'Etat","USD_PPP","V",2002,NA,263.18484057274,250154.04,0.888844265617703,0.00105209110583519
"21","AUT","GOV","HES","Secteur de l'enseignement supérieur","USD_PPP","V",2002,NA,0,250154.04,0,0
"22","AUT","GOV","PNP","Secteur privé sans but lucratif","USD_PPP","V",2002,NA,2.222722913,250154.04,0.00750671851379331,8.88541681357615e-06
"23","AUT","GOV","ROW","Reste du monde","USD_PPP","V",2002,NA,12.900683785807,250154.04,0.0435689942498517,5.1570959181019e-05
"24","AUT","GOV","_T","Total","USD_PPP","V",2002,NA,296.09781010382,250154.04,1,0.00118366191528956
"25","AUT","HES","BES","Secteur des entreprises","USD_PPP","V",2002,NA,57.042849472272,250154.04,0.0405393237838287,0.000228030894373211
"26","AUT","HES","GOV","Secteur de l'Etat","USD_PPP","V",2002,NA,1285.7885256122,250154.04,0.913786703146066,0.00513998704802929
"27","AUT","HES","HES","Secteur de l'enseignement supérieur","USD_PPP","V",2002,NA,0,250154.04,0,0
"28","AUT","HES","PNP","Secteur privé sans but lucratif","USD_PPP","V",2002,NA,9.099827605,250154.04,0.00646708327281997,3.63768964314948e-05
"29","AUT","HES","ROW","Reste du monde","USD_PPP","V",2002,NA,55.167982695338,250154.04,0.0392068897973636,0.000220536045291685
"30","AUT","HES","_T","Total","USD_PPP","V",2002,NA,1407.0991853847,250154.04,1,0.00562493088412524
"31","AUT","PNP","BES","Secteur des entreprises","USD_PPP","V",2002,NA,5.750184175,250154.04,0.247595348598432,2.29865732929998e-05
"32","AUT","PNP","GOV","Secteur de l'Etat","USD_PPP","V",2002,NA,5.503461932,250154.04,0.236971814133543,2.2000292028064e-05
"33","AUT","PNP","HES","Secteur de l'enseignement supérieur","USD_PPP","V",2002,NA,0,250154.04,0,0
"34","AUT","PNP","PNP","Secteur privé sans but lucratif","USD_PPP","V",2002,NA,7.018247597,250154.04,0.30219648752891,2.80557035856786e-05
"35","AUT","PNP","ROW","Reste du monde","USD_PPP","V",2002,NA,4.95222665,250154.04,0.21323634972878,1.97967086599921e-05
"36","AUT","PNP","_T","Total","USD_PPP","V",2002,NA,23.22412035424,250154.04,1,9.28392775676939e-05
"37","AUT","_T","BES","Secteur des entreprises","USD_PPP","V",2002,NA,2323.4411561326,250154.04,0.446303652211115,0.0092880417047536
"38","AUT","_T","GOV","Secteur de l'Etat","USD_PPP","V",2002,NA,1749.5396568587,250154.04,0.336064434635355,0.00699384929725181
"39","AUT","_T","PNP","Secteur privé sans but lucratif","USD_PPP","V",2002,NA,19.438823233766,250154.04,0.00373395202242037,7.77074127356328e-05
"40","AUT","_T","ROW","Reste du monde","USD_PPP","V",2002,NA,1113.5452816546,250154.04,0.213897961131123,0.00445143832837799
"41","AUT","_T","_T","Total","USD_PPP","V",2002,NA,5205.9649178796,250154.04,1,0.0208110367431188
"42","AUT","_T","BES","Secteur des entreprises","USD_PPP","V",2003,NA,2561.5385267758,259584.557,0.451201710439157,0.00986783865873731
